id,key,value,type
244018568,traffic_sign,maxspeed,regular
244019704,barrier,gate,regular
244019704,motor_vehicle,permit,regular
244020156,exit_to,San Juan de Aznalfarache;Coria del Río;Tomares,regular
244020156,highway,motorway_junction,regular
244020156,source,survey,regular
244020991,highway,traffic_signals,regular
244020992,crossing,traffic_signals,regular
244020992,highway,crossing,regular
244020992,source,PNOA,regular
244020992,date,2013,source
244020995,highway,traffic_signals,regular
244020995,source,PNOA,regular
244020995,date,2013,source
244020996,crossing,traffic_signals,regular
244020996,highway,crossing,regular
244021013,bicycle,yes,regular
244021013,crossing,traffic_signals,regular
244021013,highway,crossing,regular
244021013,source,PNOA,regular
244021013,date,2013,source
244021698,crossing,traffic_signals,regular
244021698,highway,crossing,regular
244053779,name,Prado San Sebastián,regular
244053779,operator,Tussam,regular
244053779,public_transport,stop_position,regular
244053779,railway,tram_stop,regular
244053779,ref,3007,regular
244053779,source,ide.Sevilla,regular
244053779,date,2011,source
244053779,tram,yes,regular
244053779,website,www.tussam.es,regular
244054192,name,Archivo de Indias,regular
244054192,operator,Tussam,regular
244054192,public_transport,stop_position,regular
244054192,railway,tram_stop,regular
244054192,ref,3005,regular
244054192,source,ide.Sevilla,regular
244054192,date,2011,source
244054192,tram,yes,regular
244054192,website,www.tussam.es,regular
244054578,name,Plaza Nueva,regular
244054578,operator,Tussam,regular
244054578,public_transport,stop_position,regular
244054578,railway,tram_stop,regular
244054578,ref,3004,regular
244054578,source,ide.Sevilla,regular
244054578,date,2011,source
244054578,tram,yes,regular
244054578,website,www.tussam.es,regular
244064938,bicycle,yes,regular
244064938,crossing,traffic_signals,regular
244064938,highway,crossing,regular
244064960,highway,traffic_signals,regular
244064963,highway,traffic_signals,regular
244066716,exit_to,SE-30 Coria del Río/ E-5 A-4 Cádiz/ A-92 Granada,regular
244066716,highway,motorway_junction,regular
244066716,ref,0B,regular
244066716,source,survey,regular
244066724,highway,motorway_junction,regular
244066724,ref,1,regular
244066724,source,survey,regular
244066742,exit_to,Coca de la Piñera / Tomares,regular
244066742,highway,motorway_junction,regular
244066742,ref,1B,regular
244066742,source,survey,regular
244078247,name,Camas,regular
244078247,railway,station,regular
244078247,wikidata,Q5814554,regular
244097056,name,Estadio Olímpico,regular
244097056,platforms,2,regular
244097056,railway,station,regular
244097056,wikidata,Q5550235,regular
247082813,converted_by,Track2osm,regular
247082827,converted_by,Track2osm,regular
247083206,converted_by,Track2osm,regular
247083309,converted_by,Track2osm,regular
247083451,converted_by,Track2osm,regular
247083532,converted_by,Track2osm,regular
247083761,converted_by,Track2osm,regular
247083900,converted_by,Track2osm,regular
247083968,converted_by,Track2osm,regular
247084063,converted_by,Track2osm,regular
247084181,converted_by,Track2osm,regular
247084202,converted_by,Track2osm,regular
247084427,converted_by,Track2osm,regular
247084453,converted_by,Track2osm,regular
247084465,crossing,zebra,regular
247084465,highway,crossing,regular
247084663,converted_by,Track2osm,regular
247084701,converted_by,Track2osm,regular
247084704,converted_by,Track2osm,regular
247084707,converted_by,Track2osm,regular
247084731,converted_by,Track2osm,regular
247357308,bus,yes,regular
247357308,public_transport,stop_position,regular
247365340,highway,traffic_signals,regular
248820656,admin_level,8,regular
248820656,ar,سيفيلا,alt_name
248820656,capital,4,regular
248820656,ele,7,regular
248820656,name,Sevilla,regular
248820656,ar,إشبيلية,name
248820656,be,Севілья,name
248820656,ca,Sevilla,name
248820656,de,Sevilla,name
248820656,el,Σεβίλλη,name
248820656,en,Seville,name
248820656,es,Sevilla,name
248820656,fr,Séville,name
248820656,hr,Sevilla,name
248820656,it,Siviglia,name
248820656,ja,セビリア,name
248820656,nl,Sevilla,name
248820656,pl,Sewilla,name
248820656,pt,Sevilha,name
248820656,ru,Севилья,name
248820656,sl,Sevilja,name
248820656,sr,Севиља,name
248820656,uk,Севілья,name
248820656,place,city,regular
248820656,population,703206,regular
248820656,source,Instituto Geográfico Nacional,regular
248820656,date,2011-06,source
248820656,file,http://centrodedescargas.cnig.es/CentroDescargas/equipamiento/BD_Municipios-Entidades.zip,source
248820656,name,Nomenclátor Geográfico de Municipios y Entidades de Población,source
248820656,population,INE,source
248820656,wikidata,Q8717,regular
249120522,highway,motorway_junction,regular
249454938,highway,crossing,regular
249455155,converted_by,Track2osm,regular
249458546,highway,give_way,regular
249458547,highway,crossing,regular
249458697,highway,crossing,regular
249478487,highway,crossing,regular
249562159,forward,40,maxspeed
249562159,side,both,regular
249562159,source,survey,regular
249562159,maxspeed,sign,source
249562159,forward,ES:R301,traffic_sign
249612108,category,maxspeed,regular
249612108,forward,100,maxspeed
249612108,side,both,regular
249612108,source,survey,regular
249612108,maxspeed,sign,source
249612108,forward,ES:R301,traffic_sign
249612375,exit_to,Sevilla;Mercasevilla;A-92 Granada Málaga,regular
249612375,highway,motorway_junction,regular
249612375,ref,2,regular
249612601,highway,give_way,regular
249612722,highway,give_way,regular
249625769,exit_to,Sevilla;Mercasevilla;A-92 Granada Málaga,regular
249625769,highway,motorway_junction,regular
249625769,lanes,1,regular
249625769,ref,2,regular
249625769,source,survey,regular
249625851,highway,stop,regular
249626035,highway,give_way,regular
249626133,highway,give_way,regular
249679668,exit_to,Sevilla;Sevilla Este;Avenida Montes Sierra,regular
249679668,highway,motorway_junction,regular
249679668,ref,1,regular
249679668,source,survey,regular
249679821,forward,80,maxspeed
249679821,side,both,regular
249679821,source,survey,regular
249679821,maxspeed,sign,source
249679821,forward,ES:R301,traffic_sign
249679835,maxspeed,80,regular
249679835,forward,80,maxspeed
249679835,side,both,regular
249679835,source,survey,regular
249679835,maxspeed,sign,source
249679835,forward,ES:R301,traffic_sign
249679947,forward,80,maxspeed
249679947,side,both,regular
249679947,source,survey,regular
249679947,maxspeed,sign,source
249679947,forward,ES:R301,traffic_sign
249680158,exit_to,Universidad Pablo de Olavide;A-376 Utrera,regular
249680158,highway,motorway_junction,regular
249680158,ref,6B,regular
249680163,exit_to,Sevilla;Avenida de La Paz,regular
249680163,highway,motorway_junction,regular
249680163,ref,6A,regular
249680625,exit_to,E-5;SE-30;A-4 Cádiz;Puerto;E-1;A-49;E-803;A-66,regular
