id,lat,lon,user,uid,version,changeset,timestamp
206358301,37.3887773,-5.9887148,cirdancarpintero,2245342,7,54513843,2017-12-10T15:32:49Z
206358302,37.3888541,-5.9885527,cirdancarpintero,2245342,7,54513843,2017-12-10T15:32:49Z
206358306,37.3888433,-5.9878013,Wim L,223681,8,76867881,2019-11-10T13:11:53Z
206358307,37.3887617,-5.9874900,Wim L,223681,9,76867881,2019-11-10T13:11:53Z
206358308,37.3886411,-5.9872599,cirdancarpintero,2245342,9,54513843,2017-12-10T15:32:49Z
206358310,37.3883835,-5.9867656,Wim L,223681,17,76867881,2019-11-10T13:11:53Z
206358313,37.3880552,-5.9863220,cirdancarpintero,2245342,9,55910578,2018-01-30T22:10:17Z
206358314,37.3878834,-5.9859601,cirdancarpintero,2245342,9,55910578,2018-01-30T22:10:17Z
206358316,37.3878056,-5.9858500,cirdancarpintero,2245342,13,54399310,2017-12-06T12:19:20Z
206358318,37.3875982,-5.9850706,cirdancarpintero,2245342,29,54399310,2017-12-06T12:19:20Z
206358321,37.3891167,-5.9899788,cirdancarpintero,2245342,7,53246396,2017-10-25T20:23:33Z
206358322,37.3891145,-5.9903498,cirdancarpintero,2245342,6,53246396,2017-10-25T20:23:33Z
206358324,37.3889829,-5.9900624,cirdancarpintero,2245342,5,53246396,2017-10-25T20:23:33Z
206358325,37.3889675,-5.9899601,BoomEngine,288925,9,79127974,2020-01-02T19:30:22Z
206358329,37.3895124,-5.9892328,Alberto Molina,161725,4,5200770,2010-07-12T17:10:02Z
206358331,37.3893640,-5.9892638,Alberto Molina,161725,4,5200770,2010-07-12T17:09:26Z
206358333,37.3892348,-5.9892717,BoomEngine,288925,5,79127974,2020-01-02T19:30:22Z
206358335,37.3890059,-5.9892020,cirdancarpintero,2245342,5,54201788,2017-11-30T11:00:36Z
206358337,37.3885043,-5.9890994,Alberto Molina,161725,5,5200770,2010-07-12T17:10:13Z
206358339,37.3888935,-5.9879590,Wim L,223681,12,76867881,2019-11-10T13:11:53Z
206358343,37.3891761,-5.9880053,Alberto Molina,161725,4,5200770,2010-07-12T17:09:21Z
206358348,37.3894395,-5.9881976,Alberto Molina,161725,4,5200770,2010-07-12T17:09:42Z
206358357,37.3898935,-5.9882738,cirdancarpintero,2245342,10,54571847,2017-12-12T16:57:18Z
206358377,37.3889972,-5.9859824,cirdancarpintero,2245342,10,61309197,2018-08-02T20:06:36Z
206358379,37.3891950,-5.9857044,cirdancarpintero,2245342,7,55816992,2018-01-27T23:11:04Z
206358385,37.3893597,-5.9854659,cirdancarpintero,2245342,7,55816992,2018-01-27T23:11:04Z
206358393,37.3877169,-5.9883230,Wim L,223681,13,76867881,2019-11-10T13:11:53Z
206358394,37.3877742,-5.9883676,Wim L,223681,14,76867881,2019-11-10T13:11:53Z
206358401,37.3880890,-5.9880451,Wim L,223681,14,76867881,2019-11-10T13:11:53Z
206358407,37.3883179,-5.9878734,Steve Chilton,736,11,575504,2009-02-20T18:03:07Z
206358408,37.3883980,-5.9878206,Wim L,223681,17,76867881,2019-11-10T13:11:53Z
206358411,37.3883022,-5.9875948,Wim L,223681,14,76867881,2019-11-10T13:11:53Z
206358417,37.3882746,-5.9873313,cirdancarpintero,2245342,14,54384980,2017-12-05T23:15:16Z
206358420,37.3880198,-5.9868899,Wim L,223681,23,76867881,2019-11-10T13:11:53Z
206358438,37.3875472,-5.9873269,Wim L,223681,18,76867881,2019-11-10T13:11:53Z
206358444,37.3873448,-5.9875223,erlenmeyer,875518,12,35555358,2015-11-24T17:03:33Z
206358450,37.3871812,-5.9876879,BoomEngine,288925,12,80337723,2020-01-30T21:10:14Z
206358455,37.3869482,-5.9880227,BoomEngine,288925,21,80337723,2020-01-30T21:10:14Z
206358473,37.3894874,-5.9860546,cirdancarpintero,2245342,6,55816992,2018-01-27T23:11:04Z
206358479,37.3892693,-5.9861012,Alberto Molina,161725,5,5200770,2010-07-12T17:10:20Z
206358485,37.3891569,-5.9861839,cirdancarpintero,2245342,9,61309197,2018-08-02T20:06:36Z
206358492,37.3886755,-5.9860589,cirdancarpintero,2245342,9,61306127,2018-08-02T17:49:29Z
206358495,37.3886066,-5.9859218,cirdancarpintero,2245342,9,61306127,2018-08-02T17:49:29Z
206358497,37.3884885,-5.9856529,cirdancarpintero,2245342,14,61306127,2018-08-02T17:49:29Z
206358505,37.3889645,-5.9853974,Alberto Molina,161725,8,5200770,2010-07-12T17:09:33Z
206358532,37.3891839,-5.9852034,Alberto Molina,161725,8,5200770,2010-07-12T17:09:59Z
206358534,37.3894047,-5.9850497,mor,220932,18,82840573,2020-03-30T19:18:01Z
206358541,37.3866213,-5.9868960,Alberto Molina,161725,7,5200770,2010-07-12T17:10:16Z
206358542,37.3868361,-5.9866835,Alberto Molina,161725,7,5200770,2010-07-12T17:10:11Z
206358543,37.3870048,-5.9865685,Wim L,223681,10,76867881,2019-11-10T13:11:53Z
206358545,37.3873512,-5.9870378,Wim L,223681,6,76867881,2019-11-10T13:11:53Z
206358546,37.3872419,-5.9868841,Wim L,223681,6,76867881,2019-11-10T13:11:53Z
206358548,37.3869361,-5.9864078,Wim L,223681,10,76867881,2019-11-10T13:11:53Z
206358551,37.3867975,-5.9861522,erlenmeyer,875518,12,34994213,2015-10-31T15:35:32Z
206358553,37.3866029,-5.9855556,erlenmeyer,875518,23,29252025,2015-03-04T19:48:34Z
206358555,37.3871917,-5.9862316,nonopp,291857,8,8577920,2011-06-29T06:35:50Z
