id,node_id,position
19095788,192027227,3
19790053,195977250,0
19790053,206181301,1
19790053,206181300,2
19790053,206181298,3
19790053,206181291,4
19790053,813726716,5
19790056,206181309,0
19790056,206181373,1
19790056,206181316,2
19790057,197992446,0
19790057,206181337,1
19790057,206181331,2
19790057,206181334,3
19790057,3118369679,4
19790057,195977240,5
19790058,206181337,0
19790058,206181340,1
19790058,206181344,2
19790058,195977242,3
19790059,206181373,0
19790059,206181376,1
19790061,206181395,0
19790061,2343687019,1
19790061,2343687016,2
19790061,2792728792,3
19790061,4418002224,4
19790061,4418002225,5
19790061,2792728749,6
19790061,206181399,7
19790061,2792728752,8
19790061,2318110856,9
19790061,2792728790,10
19790061,206181403,11
19790061,2792728803,12
19790061,2792728818,13
19790061,2792728816,14
19790061,2792728830,15
19790061,2318110864,16
19790061,2792728823,17
19790061,423332805,18
19790061,2792728815,19
19790061,2792728811,20
19790061,206181395,21
19790063,206181415,0
19790063,206181422,1
19790063,813726828,2
19790064,206181424,0
19790064,206181438,1
19790064,3161051644,2
19790064,206181441,3
19790064,3855450278,4
19790064,2317651852,5
19790064,206181445,6
19790064,206181448,7
19790064,3300759285,8
19790064,206181450,9
19790064,206181451,10
19790064,4223992551,11
19790064,206181452,12
19790064,206181453,13
19790066,206181469,0
19790066,4219248036,1
19790066,206181470,2
19790066,4219247990,3
19790066,206181472,4
19790066,3855450281,5
19790066,206181445,6
19790067,206181424,0
19790067,813726828,1
19790067,206181473,2
19790067,206181485,3
19790067,206181474,4
19790069,206181485,0
19790069,206181480,1
19790070,195977255,0
19790070,206181487,1
19790070,206358618,2
19790070,813726780,3
19790071,206181448,0
19790071,308801869,1
19790071,3800878492,2
